Genre,Publisher,TotalSales
Action,Disney Interactive Studios,0.54
Action,Disney Interactive Studios,0.54
Action,Disney Interactive Studios,0.54
Action,Disney Interactive Studios,0.54
Action,Disney Interactive Studios,0.54
Action,Disney Interactive Studios,0.54
Action,Namco Bandai Games,0
Action,Namco Bandai Games,0
Action,Namco Bandai Games,0
Sports,Take-Two Interactive,0.46
Sports,Take-Two Interactive,0.46
Sports,Take-Two Interactive,0.46
Sports,Take-Two Interactive,0.46
Sports,Take-Two Interactive,0.46
Sports,Take-Two Interactive,0.56
Sports,Take-Two Interactive,0.56
Sports,Take-Two Interactive,0.56
Sports,Take-Two Interactive,0.56
Sports,Take-Two Interactive,0.56
Sports,Take-Two Interactive,1.29
Sports,Take-Two Interactive,1.29
Sports,Take-Two Interactive,1.29
Sports,Take-Two Interactive,1.29
Sports,Take-Two Interactive,1.29
Sports,Take-Two Interactive,0.63
Sports,Take-Two Interactive,0.63
Sports,Take-Two Interactive,0.63
Sports,Take-Two Interactive,0.63
Sports,Take-Two Interactive,0.63
Action,Activision,0.4
Action,Activision,0.4
Action,Activision,0.4
Action,Activision,0.4
Action,Activision,0.4
Action,Activision,0.2
Action,Activision,0.2
Action,Activision,0.2
Action,Activision,0.2
Action,Activision,0.2
Shooter,Activision,0.4
Shooter,Activision,0.4
Shooter,Activision,0.4
Shooter,Activision,0.4
Shooter,Activision,0.43
Shooter,Activision,0.43
Shooter,Activision,0.43
Shooter,Activision,0.43
Shooter,Activision,2.18
Shooter,Activision,2.18
Shooter,Activision,2.18
Shooter,Activision,2.18
Shooter,Activision,1.27
Shooter,Activision,1.27
Shooter,Activision,1.27
Shooter,Activision,1.27
Simulation,Koch Media,0.39
Simulation,Koch Media,0.39
Simulation,Koch Media,0.39
Simulation,Koch Media,0.39
Simulation,Koch Media,0.39
Simulation,Koch Media,0.39
Simulation,Koch Media,0.41
Simulation,Koch Media,0.41
Simulation,Koch Media,0.41
Simulation,Koch Media,0.41
Simulation,Koch Media,0.41
Simulation,Koch Media,0.41
Simulation,Koch Media,0.4
Simulation,Koch Media,0.4
Simulation,Koch Media,0.4
Simulation,Koch Media,0.4
Simulation,Koch Media,0.4
Simulation,Koch Media,0.4
Simulation,Koch Media,0.24
Simulation,Koch Media,0.24
Simulation,Koch Media,0.24
Simulation,Koch Media,0.24
Simulation,Koch Media,0.24
Simulation,Koch Media,0.24
Adventure,Square Enix,0.37
Adventure,Square Enix,0.37
Adventure,Square Enix,0.37
Adventure,Square Enix,0.37
Adventure,Square Enix,1.59
Adventure,Square Enix,1.59
Adventure,Square Enix,1.59
Adventure,Square Enix,1.59
Music,Ubisoft,0.36
Music,Ubisoft,0.36
Music,Ubisoft,0.36
Music,Ubisoft,0.36
Music,Ubisoft,0.36
Music,Ubisoft,0.36
Music,Ubisoft,0.22
Music,Ubisoft,0.22
Music,Ubisoft,0.22
Music,Ubisoft,0.22
Music,Ubisoft,0.22
Music,Ubisoft,0.22
Music,Ubisoft,1.11
Music,Ubisoft,1.11
Music,Ubisoft,1.11
Music,Ubisoft,1.11
Music,Ubisoft,1.11
Music,Ubisoft,1.11
Music,Ubisoft,0.39
Music,Ubisoft,0.39
Music,Ubisoft,0.39
Music,Ubisoft,0.39
Music,Ubisoft,0.39
Music,Ubisoft,0.39
Music,Ubisoft,0.38
Music,Ubisoft,0.38
Music,Ubisoft,0.38
Music,Ubisoft,0.38
Music,Ubisoft,0.38
Music,Ubisoft,0.38
Music,Ubisoft,0.6
Music,Ubisoft,0.6
Music,Ubisoft,0.6
Music,Ubisoft,0.6
Music,Ubisoft,0.6
Music,Ubisoft,0.6
Fighting,Tecmo Koei,0.35
Fighting,Tecmo Koei,0.35
Fighting,Tecmo Koei,0.35
Fighting,Tecmo Koei,0.35
Fighting,Tecmo Koei,0.35
Fighting,Tecmo Koei,0.1
Fighting,Tecmo Koei,0.1
Fighting,Tecmo Koei,0.1
Fighting,Tecmo Koei,0.1
Fighting,Tecmo Koei,0.1
Music,Activision,0.33
Music,Activision,0.33
Music,Activision,0.33
Music,Activision,0.33
Music,Activision,0.33
Music,Activision,0.33
Music,Activision,0.37
Music,Activision,0.37
Music,Activision,0.37
Music,Activision,0.37
Music,Activision,0.37
Music,Activision,0.37
Music,Activision,1.2
Music,Activision,1.2
Music,Activision,1.2
Music,Activision,1.2
Music,Activision,1.2
Music,Activision,1.2
Music,Activision,0.8
Music,Activision,0.8
Music,Activision,0.8
Music,Activision,0.8
Music,Activision,0.8
Music,Activision,0.8
